"Subdivision category","3166-2 code","Subdivision name","Region_name"
"council area","GB-ABE","Aberdeen City","Scotland"
"council area","GB-ABD","Aberdeenshire","Scotland"
"council area","GB-ANS","Angus","Scotland"
"district","GB-ANN","Antrim and Newtownabbey","Northern Ireland"
"district","GB-AND","Ards and North Down","Northern Ireland"
"council area","GB-AGB","Argyll and Bute","Scotland"
"district","GB-ABC","Armagh City, Banbridge and Craigavon","Northern Ireland"
"London borough","GB-BDG","Barking and Dagenham","London"
"London borough","GB-BNE","Barnet","London"
"metropolitan district","GB-BNS","Barnsley","Yorkshire and Humber"
"unitary authority","GB-BAS","Bath and North East Somerset","South West"
"unitary authority","GB-BDF","Bedford","East of England"
"London borough","GB-BEX","Bexley","London"
"metropolitan district","GB-BIR","Birmingham","West Midlands"
"unitary authority","GB-BBD","Blackburn with Darwen","North West"
"unitary authority","GB-BPL","Blackpool","North West"
"unitary authority","GB-BGW","Blaenau Gwent","Wales"
"metropolitan district","GB-BOL","Bolton","North West"
"unitary authority","GB-BCP","Bournemouth, Christchurch and Poole","South West"
"unitary authority","GB-BRC","Bracknell Forest","South East"
"metropolitan district","GB-BRD","Bradford","Yorkshire and Humber"
"London borough","GB-BEN","Brent","London"
"unitary authority","GB-BGE","Bridgend","Wales"
"unitary authority","GB-BNH","Brighton and Hove","South East"
"unitary authority","GB-BST","Bristol, City of","South West"
"London borough","GB-BRY","Bromley","London"
"two-tier county","GB-BKM","Buckinghamshire","South East"
"metropolitan district","GB-BUR","Bury","North West"
"unitary authority","GB-CAY","Caerphilly","Wales"
"metropolitan district","GB-CLD","Calderdale","Yorkshire and Humber"
"two-tier county","GB-CAM","Cambridge","East of England"
"London borough","GB-CMD","Camden","London"
"unitary authority","GB-CRF","Cardiff","Wales"
"unitary authority","GB-CMN","Carmarthenshire","Wales"
"district","GB-CCG","Causeway Coast and Glens","Northern Ireland"
"unitary authority","GB-CBF","Central Bedfordshire","East of England"
"unitary authority","GB-CGN","Ceredigion","Wales"
"unitary authority","GB-CHE","Cheshire East","North West"
"unitary authority","GB-CHW","Cheshire West and Chester","North West"
"council area","GB-CLK","Clackmannanshire","Scotland"
"unitary authority","GB-CWY","Conwy","Wales"
"unitary authority","GB-CON","Cornwall","South West"
"metropolitan district","GB-COV","Coventry","West Midlands"
"London borough","GB-CRY","Croydon","London"
"two-tier county","GB-CMA","Cumbria","North West"
"unitary authority","GB-DAL","Darlington","North East"
"unitary authority","GB-DEN","Denbighshire","Wales"
"unitary authority","GB-DER","Derby","East Midlands"
"two-tier county","GB-DBY","Derby","East Midlands"
"two-tier county","GB-DEV","Devon","South West"
"metropolitan district","GB-DNC","Doncaster","Yorkshire and Humber"
"two-tier county","GB-DOR","Dorset","South West"
"metropolitan district","GB-DUD","Dudley","West Midlands"
"council area","GB-DGY","Dumfries and Galloway","Scotland"
"council area","GB-DND","Dundee City","Scotland"
"unitary authority","GB-DUR","County Durham","North East"
"London borough","GB-EAL","Ealing","London"
"council area","GB-EAY","East Ayrshire","Scotland"
"council area","GB-EDU","East Dunbartonshire","Scotland"
"council area","GB-ELN","East Lothian","Scotland"
"council area","GB-ERW","East Renfrewshire","Scotland"
"unitary authority","GB-ERY","East Riding of Yorkshire","Yorkshire and Humber"
"two-tier county","GB-ESX","East Sussex","South East"
"London borough","GB-ENF","Enfield","London"
"two-tier county","GB-ESS","Essex","East of England"
"council area","GB-FAL","Falkirk","Scotland"
"district","GB-FMO","Fermanagh and Omagh","Northern Ireland"
"council area","GB-FIF","Fife","Scotland"
"unitary authority","GB-FLN","Flintshire","Wales"
"metropolitan district","GB-GAT","Gateshead","North East"
"council area","GB-GLG","Glasgow City","Scotland"
"two-tier county","GB-GLS","Gloucestershire","South West"
"London borough","GB-GRE","Greenwich","London"
"unitary authority","GB-GWN","Gwynedd","Wales"
"London borough","GB-HCK","Hackney","London"
"unitary authority","GB-HAL","Halton","North West"
"London borough","GB-HMF","Hammersmith and Fulham","London"
"two-tier county","GB-HAM","Hampshire","South East"
"London borough","GB-HRY","Haringey","London"
"London borough","GB-HRW","Harrow","London"
"unitary authority","GB-HPL","Hartlepool","North East"
"London borough","GB-HAV","Havering","London"
"unitary authority","GB-HEF","Herefordshire, County of","West Midlands"
"two-tier county","GB-HRT","Hertfordshire","East of England"
"council area","GB-HLD","Highland","Scotland"
"London borough","GB-HIL","Hillingdon","London"
"London borough","GB-HNS","Hounslow","London"
"council area","GB-IVC","Inverclyde","Scotland"
"unitary authority","GB-AGY","Isle of Anglesey","Wales"
"unitary authority","GB-IOW","Isle of Wight","South East"
"unitary authority","GB-IOS","Isles of Scilly","South West"
"London borough","GB-ISL","Islington","London"
"London borough","GB-KEC","Kensington and Chelsea","London"
"two-tier county","GB-KEN","Kent","South East"
"unitary authority","GB-KHL","Kingston upon Hull","Yorkshire and Humber"
"London borough","GB-KTT","Kingston upon Thames","London"
"metropolitan district","GB-KIR","Kirklees","Yorkshire and Humber"
"metropolitan district","GB-KWL","Knowsley","North West"
"London borough","GB-LBH","Lambeth","London"
"two-tier county","GB-LAN","Lancashire","North West"
"metropolitan district","GB-LDS","Leeds","Yorkshire and Humber"
"unitary authority","GB-LCE","Leicester","East Midlands"
"two-tier county","GB-LEC","Leicestershire","East Midlands"
"London borough","GB-LEW","Lewisham","London"
"two-tier county","GB-LIN","Lincoln","East Midlands"
"district","GB-LBC","Lisburn and Castlereagh","Northern Ireland"
"metropolitan district","GB-LIV","Liverpool","North West"
"city corporation","GB-LND","London, City of","London"
"unitary authority","GB-LUT","Luton","East of England"
"metropolitan district","GB-MAN","Manchester","North West"
"unitary authority","GB-MDW","Medway","South East"
"unitary authority","GB-MTY","Merthyr Tydfil","Wales"
"London borough","GB-MRT","Merton","London"
"district","GB-MEA","Mid and East Antrim","Northern Ireland"
"unitary authority","GB-MDB","Middlesbrough","North East"
"council area","GB-MLN","Midlothian","Scotland"
"unitary authority","GB-MIK","Milton Keynes","South East"
"unitary authority","GB-MON","Monmouthshire","Wales"
"council area","GB-MRY","Moray","Scotland"
"unitary authority","GB-NTL","Neath Port Talbot","Wales"
"metropolitan district","GB-NET","Newcastle upon Tyne","North East"
"London borough","GB-NWM","Newham","London"
"unitary authority","GB-NWP","Newport","Wales"
"district","GB-NMD","Newry, Mourne and Down","Northern Ireland"
"two-tier county","GB-NFK","Norfolk","East of England"
"council area","GB-NAY","North Ayrshire","Scotland"
"unitary authority","GB-NEL","North East Lincolnshire","Yorkshire and Humber"
"council area","GB-NLK","North Lanarkshire","Scotland"
"unitary authority","GB-NLN","North Lincolnshire","Yorkshire and Humber"
"unitary authority","GB-NSM","North Somerset","South West"
"metropolitan district","GB-NTY","North Tyneside","North East"
"two-tier county","GB-NYK","North Yorkshire","Yorkshire and Humber"
"two-tier county","GB-NTH","Northamptonshire","East Midlands"
"unitary authority","GB-NBL","Northumberland","North East"
"unitary authority","GB-NGM","Nottingham","East Midlands"
"two-tier county","GB-NTT","Nottingham","East Midlands"
"metropolitan district","GB-OLD","Oldham","North West"
"council area","GB-ORK","Orkney Islands","Scotland"
"two-tier county","GB-OXF","Oxford","South East"
"unitary authority","GB-PEM","Pembrokeshire","Wales"
"council area","GB-PKN","Perth and Kinross","Scotland"
"unitary authority","GB-PTE","Peterborough","East of England"
"unitary authority","GB-PLY","Plymouth","South West"
"unitary authority","GB-POR","Portsmouth","South East"
"unitary authority","GB-POW","Powys","Wales"
"unitary authority","GB-RDG","Reading","South East"
"London borough","GB-RDB","Redbridge","London"
"unitary authority","GB-RCC","Redcar and Cleveland","North East"
"council area","GB-RFW","Renfrewshire","Scotland"
"unitary authority","GB-RCT","Rhondda Cynon Taf","Wales"
"London borough","GB-RIC","Richmond upon Thames","London"
"metropolitan district","GB-RCH","Rochdale","North West"
"metropolitan district","GB-ROT","Rotherham","Yorkshire and Humber"
"unitary authority","GB-RUT","Rutland","East Midlands"
"metropolitan district","GB-SLF","Salford","North West"
"metropolitan district","GB-SAW","Sandwell","West Midlands"
"council area","GB-SCB","Scottish Borders","Scotland"
"metropolitan district","GB-SFT","Sefton","North West"
"metropolitan district","GB-SHF","Sheffield","Yorkshire and Humber"
"council area","GB-ZET","Shetland Islands","Scotland"
"unitary authority","GB-SHR","Shropshire","West Midlands"
"unitary authority","GB-SLG","Slough","South East"
"metropolitan district","GB-SOL","Solihull","West Midlands"
"two-tier county","GB-SOM","Somerset","South West"
"council area","GB-SAY","South Ayrshire","Scotland"
"unitary authority","GB-SGC","South Gloucestershire","South West"
"council area","GB-SLK","South Lanarkshire","Scotland"
"metropolitan district","GB-STY","South Tyneside","North East"
"unitary authority","GB-STH","Southampton","South East"
"unitary authority","GB-SOS","Southend-on-Sea","East of England"
"London borough","GB-SWK","Southwark","London"
"metropolitan district","GB-SHN","St. Helens","North West"
"two-tier county","GB-STS","Staffordshire","West Midlands"
"council area","GB-STG","Stirling","Scotland"
"metropolitan district","GB-SKP","Stockport","North West"
"unitary authority","GB-STT","Stockton-on-Tees","North East"
"unitary authority","GB-STE","Stoke-on-Trent","West Midlands"
"two-tier county","GB-SFK","Suffolk","East of England"
"metropolitan district","GB-SND","Sunderland","North East"
"two-tier county","GB-SRY","Surrey","South East"
"London borough","GB-STN","Sutton","London"
"unitary authority","GB-SWA","Swansea","Wales"
"unitary authority","GB-SWD","Swindon","South West"
"metropolitan district","GB-TAM","Tameside","North West"
"unitary authority","GB-TFW","Telford and Wrekin","West Midlands"
"unitary authority","GB-THR","Thurrock","East of England"
"unitary authority","GB-TOB","Torbay","South West"
"unitary authority","GB-TOF","Torfaen","Wales"
"London borough","GB-TWH","Tower Hamlets","London"
"metropolitan district","GB-TRF","Trafford","North West"
"metropolitan district","GB-WKF","Wakefield","Yorkshire and Humber"
"metropolitan district","GB-WLL","Walsall","West Midlands"
"London borough","GB-WFT","Waltham Forest","London"
"London borough","GB-WND","Wandsworth","London"
"unitary authority","GB-WRT","Warrington","North West"
"two-tier county","GB-WAR","Warwick","West Midlands"
"unitary authority","GB-WBK","West Berkshire","South East"
"council area","GB-WDU","West Dunbartonshire","Scotland"
"council area","GB-WLN","West Lothian","Scotland"
"two-tier county","GB-WSX","West Sussex","South East"
"London borough","GB-WSM","Westminster","London"
"metropolitan district","GB-WGN","Wigan","North West"
"unitary authority","GB-WIL","Wiltshire","South West"
"unitary authority","GB-WNM","Windsor and Maidenhead","South East"
"metropolitan district","GB-WRL","Wirral","North West"
"unitary authority","GB-WOK","Wokingham","South East"
"metropolitan district","GB-WLV","Wolverhampton","West Midlands"
"two-tier county","GB-WOR","Worcester","West Midlands"
"unitary authority","GB-WRX","Wrexham","Wales"
"unitary authority","GB-YOR","York","Yorkshire and Humber"
